lap_number,sector,sector_progress_start,sector_progress_end,sector_time_sec,avg_speed_kmh,max_speed_kmh,speed_std_kmh,avg_throttle,throttle_std,throttle_usage_ratio,avg_brake,brake_std,brake_usage_ratio,avg_abs_steer,steering_smoothness,max_lat_g,min_lat_g,max_long_g,min_long_g,avg_combined_g,max_combined_g,samples,sector_distance,entry_speed_kmh,apex_speed_kmh,exit_speed_kmh,best_sector_time_sec,best_sector_avg_speed_kmh,best_sector_avg_brake,best_sector_avg_throttle,best_sector_brake_usage_ratio,best_sector_throttle_usage_ratio,best_entry_speed_kmh,best_apex_speed_kmh,best_exit_speed_kmh,mean_line_deviation_m,max_line_deviation_m,time_lost_vs_best_sector_sec,avg_speed_diff_vs_best,entry_speed_diff_vs_best,apex_speed_diff_vs_best,exit_speed_diff_vs_best,sector_quality
1,1,0.0,0.3333333333333333,8.380302036678408,253.83606684020677,306.0585632324219,43.387790490141384,0.9694589877835951,0.1720705052854855,0.9694589877835951,0.0,0.0,0.0,2.840198878276879,0.13092051810833044,0.1995970010757446,-2.1083264350891118,1.1193811428546907,-0.6561735272407532,0.8272546685036083,2.132613869061351,1146,590.1033527228979,175.36295010750754,148.67404174804688,302.0798827054208,8.380302036678408,253.83606684020677,0.0,0.9694589877835951,0.0,0.9694589877835951,175.36295010750754,148.67404174804688,302.0798827054208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strong
1,2,0.3333333333333333,0.6666666666666666,3.902138439512065,308.0541829003228,310.2117004394531,0.8745554193603595,1.0,0.0,1.0,0.0,0.0,0.0,10.290530994120571,0.35273737534232763,-0.7959523797035217,-3.6832117462158203,0.4195746779441833,-0.949032187461853,1.9679061642707052,3.6986289744521454,576,334.1885832505257,307.37403976085574,306.061279296875,307.75752080873,3.902138439512065,308.0541829003228,0.0,1.0,0.0,1.0,307.37403976085574,306.061279296875,307.75752080873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strong
1,3,0.6666666666666666,1.0,38.93955952380953,309.14202048221784,312.69613555908205,2.872388541681044,1.0,0.0,1.0,0.0,0.0,0.0,5.3467739537473795,0.20499132200043998,1.5754802227020264,-3.6832117462158203,0.5795641541481018,-0.8950016498565674,1.0386738994380145,3.725240911657982,5418,3343.6404835323146,306.95610211752904,302.736083984375,311.9310965326619,38.93955952380953,309.14202048221784,0.0,1.0,0.0,1.0,306.95610211752904,302.736083984375,311.9310965326619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strong
2,1,0.0,0.3333333333333333,47.739921361502354,252.1273567816816,312.69613555908205,57.96660266753844,0.8187162568352968,0.3298457147194033,0.9218495604037773,0.04602413991351322,0.16018480307379027,0.09915337023770758,7.0378562241722324,0.11013092118333749,1.1745237112045288,-2.623621702194214,1.1193811428546907,-3.9792006170749668,0.9356861035143288,3.9817846598445463,6142,3331.2750765175288,312.19182927797465,140.45460510253906,284.29555881761183,8.380302036678408,253.83606684020677,0.0,0.9694589877835951,0.0,0.9694589877835951,175.36295010750754,148.67404174804688,302.0798827054208,668.248854846294,1344.3676251188058,39.359619324823946,-1.7087100585251562,136.8288791704671,-8.219436645507812,-17.784323887808966,weak
2,2,0.3333333333333333,0.6666666666666666,42.76233124568189,282.3473422141766,312.69613555908205,52.96286385899917,0.9176156292290523,0.23795035158900052,0.9572413793103448,0.024092823362696515,0.13187981527215725,0.05068965517241379,7.699063475581335,0.12162018378308403,2.1222612965106977,-3.6832117462158203,0.9102620482444764,-3.9792006170749668,0.9907828533237818,3.9829812569031153,5800,3340.3996969412538,310.8650817871094,137.6846160888672,309.7941707918014,3.902138439512065,308.0541829003228,0.0,1.0,0.0,1.0,307.37403976085574,306.061279296875,307.75752080873,649.7571895165817,1362.9551107285533,38.86019280616983,-25.706840686146222,3.4910420262536377,-168.3766632080078,2.0366499830713565,weak
2,3,0.6666666666666666,1.0,38.893747392815754,309.5636533634713,312.69613555908205,2.4865522055845566,1.0,0.0,1.0,0.0,0.0,0.0,5.182876119858724,0.20648804269572288,0.7530209422111511,-3.6832117462158203,0.5819175243377686,-0.920660436153412,1.030165584505597,3.7029416557189094,5398,3344.7396827023586,307.14902865076243,303.67901611328125,311.9829201527373,38.93955952380953,309.14202048221784,0.0,1.0,0.0,1.0,306.95610211752904,302.736083984375,311.9310965326619,0.3995172959526044,1.3056854907798554,-0.04581213099377379,0.42163288125345844,0.19292653323338982,0.94293212890625,0.05182362007536767,strong
3,1,0.0,0.3333333333333333,-147.40555460218408,269.9102010012484,312.69613555908205,47.58572962162682,0.8614118447141565,0.3086647354885018,0.933017709977205,0.01909978856920106,0.07491044007056656,0.06943713834823777,9.135909300850876,0.16792778044672485,1.5724271535873413,-3.6832117462158203,0.8575465083122253,-2.8890342712402344,0.9263279972932288,4.681086176077383,5703,3340.797930814103,312.1699530286287,167.01669311523438,282.27729693853365,8.380302036678408,253.83606684020677,0.0,0.9694589877835951,0.0,0.9694589877835951,175.36295010750754,148.67404174804688,302.0798827054208,668.4972334467469,1351.4619920801342,-155.7858566388625,16.074134161041655,136.80700292112115,18.3426513671875,-19.802585766887148,strong
3,2,0.3333333333333333,0.6666666666666666,42.32376761993556,284.9382379548352,312.69613555908205,47.780960143915244,0.9419217486013363,0.1978105118594053,0.9768724426258673,0.021970058054340436,0.12742127673508602,0.03913894324853229,7.665462160248854,0.13285069135223843,2.1222612965106977,-3.6832117462158203,0.7149791121482849,-3.9792006170749668,0.9771791363993535,3.98210863364772,5621,3339.76787664104,310.04504372810555,154.42706298828125,310.2793279717967,3.902138439512065,308.0541829003228,0.0,1.0,0.0,1.0,307.37403976085574,306.061279296875,307.75752080873,649.8401498460003,1362.2574410382729,38.421629180423494,-23.115944945487627,2.671003967249817,-151.63421630859375,2.5218071630666827,weak
3,3,0.6666666666666666,1.0,38.931786982248525,309.0454444602577,312.69613555908205,2.995703893483669,1.0,0.0,1.0,0.0,0.0,0.0,5.446863513486837,0.2249932234015027,2.1222612965106977,-3.6832117462158203,0.7677167057991028,-0.928968071937561,1.0547413295140702,3.7279603334554805,5317,3342.1671203942105,307.18646611652827,301.3948059082031,311.88872287802894,38.93955952380953,309.14202048221784,0.0,1.0,0.0,1.0,306.95610211752904,302.736083984375,311.9310965326619,0.5146314570048212,1.6608415806516013,-0.0077725415610032655,-0.09657602196011794,0.23036399899922344,-1.341278076171875,-0.04237365463296783,strong
4,1,0.0,0.3333333333333333,-82.45382654659358,276.81794906583,312.69613555908205,48.46559631531299,0.9199879578394781,0.2361686231897055,0.9649981864345303,0.02756147643926172,0.13641817413971016,0.054769677185346394,8.41979033941986,0.18789142291277305,2.1222612965106977,-3.6832117462158203,0.7446911334991455,-3.9792006170749668,1.0356884237729598,3.9827376212822716,5514,3335.201726773659,312.1623911485591,167.7339324951172,287.01363102498914,8.380302036678408,253.83606684020677,0.0,0.9694589877835951,0.0,0.9694589877835951,175.36295010750754,148.67404174804688,302.0798827054208,668.2792672376002,1344.883228177579,-90.83412858327199,22.981882225623252,136.79944104105155,19.059890747070312,-15.066251680431662,strong
4,2,0.3333333333333333,0.6666666666666666,41.74437351448894,289.1825747187434,312.69613555908205,41.0082904195086,0.9406760362569276,0.20527859625445677,0.9854054054054054,0.015264190522077612,0.10726467668403529,0.028288288288288287,9.579605185926392,0.1427342191444343,2.1222612965106977,-3.6832117462158203,0.6842381358146667,-3.9792006170749668,0.9762356899140363,4.1170370054862815,5550,3347.849625592843,310.8096663034879,173.6050262451172,310.10002611527074,3.902138439512065,308.0541829003228,0.0,1.0,0.0,1.0,307.37403976085574,306.061279296875,307.75752080873,649.9677491395109,1366.7899915590897,37.84223507497688,-18.871608181579404,3.4356265426321784,-132.4562530517578,2.3425053065407155,weak
4,3,0.6666666666666666,1.0,38.96045303210464,309.29697771731287,312.69613555908205,2.7671250859510517,1.0,0.0,1.0,0.0,0.0,0.0,5.1447169186914286,0.20754043818321796,0.5703396201133728,-3.6832117462158203,0.5496104955673218,-1.0063883066177368,1.0300874083927933,3.6938054828390134,5280,3347.1435869535735,306.2294810516666,303.22198486328125,311.93306855018693,38.93955952380953,309.14202048221784,0.0,1.0,0.0,1.0,306.95610211752904,302.736083984375,311.9310965326619,0.860843125731121,2.377126100423888,0.020893508295110053,0.15495723509502568,-0.7266210658624459,0.48590087890625,0.0019720175250199645,strong
5,1,0.0,0.3333333333333333,-81.39829747572816,281.2956511824674,312.69613555908205,43.92187530558553,0.9290362984697084,0.24124243783218347,0.9482116244411326,0.02177930416416142,0.12049593347135534,0.056073025335320416,9.200126219151262,0.19028893343503192,2.1222612965106977,-3.6832117462158203,0.6985138058662415,-3.9792006170749668,1.023039383434992,4.456135869774456,5368,3336.7206718273137,312.17780427200603,177.4216766357422,285.74516321028244,8.380302036678408,253.83606684020677,0.0,0.9694589877835951,0.0,0.9694589877835951,175.36295010750754,148.67404174804688,302.0798827054208,668.4592709051279,1345.6233675232693,-89.77859951240657,27.459584342260626,136.81485416449848,28.747634887695312,-16.33471949513836,strong
5,2,0.3333333333333333,0.6666666666666666,41.4875049349356,290.61227884306606,312.69613555908205,38.49427080508277,0.9439319108343422,0.19225889620263514,0.9884361233480177,0.012887853007859494,0.09955613094917681,0.023494860499265784,10.15193383002651,0.14347066507364428,2.1222612965106977,-3.6832117462158203,0.6670640110969543,-3.9792006170749668,0.9976477196497922,4.512865558359886,5448,3345.878568549081,310.5088404231731,182.2726593017578,309.8710845917383,3.902138439512065,308.0541829003228,0.0,1.0,0.0,1.0,307.37403976085574,306.061279296875,307.75752080873,649.792169597195,1366.4372876249824,37.585366495423536,-17.44190405725675,3.1348006623173887,-123.78861999511719,2.11356378300826,weak
5,3,0.6666666666666666,1.0,38.94179254079255,309.46174219121696,312.69613555908205,2.603702037983912,1.0,0.0,1.0,0.0,0.0,0.0,5.050394872555785,0.19815369446318334,0.5804585218429565,-3.6832117462158203,0.7603182196617126,-0.9777600765228271,1.0066912941592192,3.707158071909453,5271,3347.379358332898,306.2676959846593,302.8358154296875,311.93824528213696,38.93955952380953,309.14202048221784,0.0,1.0,0.0,1.0,306.95610211752904,302.736083984375,311.9310965326619,0.823273431063609,2.4555184618589094,0.0022330169830198088,0.31972170899911134,-0.6884061328697157,0.0997314453125,0.007148749475049954,strong
